Customer_ID,First_Name,Last_Name,Gender,City,Signup_Date,Phone_Number
C00001,Sneha,Sharma,Female,Ghaziabad,03-04-2022,9249827706
C00002,Sneha,Malhotra,Male,Bangalore,07-03-2021,9131994523
C00003,Priya,Singh,Male,Delhi,24-02-2024,9313500298
C00004,Simran,Kumar,Male,Hyderabad,21-04-2024,9398704996
C00005,Rahul,Yadav,Female,Mumbai,24-07-2022,9266944844
C00006,Vikas,Kapoor,Male,Noida,18-02-2023,9203848421
C00007,Meera,Kapoor,Female,Delhi,03-02-2025,9593303705
C00008,Simran,Verma,Female,Noida,05-02-2024,9414797776
C00009,Nisha,Kapoor,Male,Noida,04-04-2021,9810026086
C00010,Anjali,Gupta,Male,Ghaziabad,10-11-2025,9208449460
C00011,Sanjay,Gupta,Female,Mumbai,30-11-2021,9497478786
C00012,Meera,Singh,Female,Noida,01-06-2024,9781802744
C00013,Neha,Malhotra,Male,Gurgaon,05-08-2023,9507437181
C00014,Rohit,Malhotra,Male,Mumbai,23-09-2025,9924970419
C00015,Amit,Singh,Male,Mumbai,02-04-2023,9387484583
C00016,Priya,Singh,Female,Ghaziabad,04-09-2024,9636045484
C00017,Sanjay,Agarwal,Male,Faridabad,13-10-2021,9364814270
C00018,Simran,Malhotra,Female,Bangalore,10-04-2024,9528853029
C00019,Meera,Singh,Male,Hyderabad,06-07-2021,9911514914
C00020,Amit,Verma,Male,Gurgaon,11-06-2025,9830661141
C00021,Ritu,Pandey,Male,Bangalore,21-02-2023,9739830322
C00022,Manish,Malhotra,Female,Delhi,25-10-2024,9873869166
C00023,Sneha,Malhotra,Female,Mumbai,17-08-2021,9415143362
C00024,Ritu,Yadav,Female,Delhi,18-01-2025,9872751234
C00025,Rohit,Malhotra,Male,Noida,18-11-2025,9771410971
C00026,Pooja,Malhotra,Male,Gurgaon,05-02-2023,9918739736
C00027,Neha,Malhotra,Male,Mumbai,28-09-2023,9120912992
C00028,Sneha,Kapoor,Female,Ghaziabad,29-04-2021,9358633898
C00029,Abhishek,Verma,Male,Hyderabad,30-07-2025,9174316370
C00030,Simran,Yadav,Male,Hyderabad,31-01-2024,9277303722
C00031,Rohit,Malhotra,Female,Ghaziabad,10-01-2024,9910959828
C00032,Vikas,Gupta,Female,Mumbai,17-06-2023,9655742829
C00033,Manish,Verma,Male,Ghaziabad,12-05-2021,9463016614
C00034,Rahul,Pandey,Male,Ghaziabad,15-01-2021,9176228245
C00035,Amit,Singh,Male,Delhi,27-10-2025,9454794895
C00036,Priya,Malhotra,Male,Faridabad,02-10-2024,9621209849
C00037,Vikas,Malhotra,Male,Hyderabad,13-05-2022,9942478695
C00038,Kavita,Kumar,Male,Noida,18-07-2021,9807577342
C00039,Ritu,Kapoor,Female,Bangalore,15-08-2023,9882839238
